Date,Day,Whiskey
06/07/21,Monday,EH Taylor
06/08/21,Tuesday,Blantons
06/09/21,Wednesday,Weller
06/10/21,Thursday,EH Taylor
06/11/21,Friday,Eagle Rare
06/12/21,Saturday,Blantons
06/13/21,Sunday,Single Oak Project
06/14/21,Monday,Eagle Rare
06/15/21,Tuesday,Blantons
06/16/21,Wednesday,Blantons
06/17/21,Thursday,Eagle Rare
06/18/21,Friday,EH Taylor
06/19/21,Saturday,Weller
06/20/21,Sunday,Weller
06/21/21,Monday,Weller
06/22/21,Tuesday,Blantons
06/23/21,Wednesday,EH Taylor
06/24/21,Thursday,Blantons
06/25/21,Friday,Eagle Rare
06/26/21,Saturday,Weller
06/27/21,Sunday,EH Taylor
06/28/21,Monday,Eagle Rare
06/29/21,Tuesday,EH Taylor
06/30/21,Wednesday,Weller
07/01/21,Thursday,Blantons
07/02/21,Friday,Blantons
07/03/21,Saturday,Weller
07/04/21,Sunday,Eagle Rare
07/05/21,Monday,EH Taylor
07/06/21,Tuesday,Blantons
07/07/21,Wednesday,Weller
07/08/21,Thursday,Weller
07/09/21,Friday,Eagle Rare
07/10/21,Saturday,EH Taylor
07/11/21,Sunday,Blantons
07/12/21,Monday,Eagle Rare
07/13/21,Tuesday,Blantons
07/14/21,Wednesday,Eagle Rare
07/15/21,Thursday,Blantons
07/16/21,Friday,Weller
07/17/21,Saturday,EH Taylor
07/18/21,Sunday,Eagle Rare
07/19/21,Monday,Blantons
07/20/21,Tuesday,EH Taylor
07/21/21,Wednesday,Blantons
07/22/21,Thursday,EH Taylor
07/23/21,Friday,Eagle Rare
07/24/21,Saturday,Weller
07/25/21,Sunday,Eagle Rare
07/26/21,Monday,Eagle Rare
07/27/21,Tuesday,Blantons
07/28/21,Wednesday,Eagle Rare
07/29/21,Thursday,Blantons
07/30/21,Friday,EH Taylor
07/31/21,Saturday,Weller
08/01/21,Sunday,Eagle Rare
08/02/21,Monday,EH Taylor
08/03/21,Tuesday,Eagle Rare
08/04/21,Wednesday,Eagle Rare
08/05/21,Thursday,Blantons
08/06/21,Friday,EH Taylor
08/07/21,Saturday,Weller
08/08/21,Sunday,Blantons
08/09/21,Monday,Blantons
08/10/21,Tuesday,EH Taylor
08/11/21,Wednesday,Weller
08/12/21,Thursday,EH Taylor
08/13/21,Friday,Blantons
08/14/21,Saturday,Eagle Rare
08/15/21,Sunday,Weller
08/16/21,Monday,Eagle Rare
08/17/21,Tuesday,Weller
08/18/21,Wednesday,Blantons
08/19/21,Thursday,Weller
08/20/21,Friday,Eagle Rare
08/21/21,Saturday,EH Taylor
08/22/21,Sunday,Blantons
08/23/21,Monday,Weller
08/24/21,Tuesday,EH Taylor
08/25/21,Wednesday,Eagle Rare
08/26/21,Thursday,Weller
08/27/21,Friday,Eagle Rare
08/28/21,Saturday,Blantons
08/29/21,Sunday,EH Taylor
08/30/21,Monday,Eagle Rare
08/31/21,Tuesday,Blantons
09/01/21,Wednesday,EH Taylor
09/02/21,Thursday,Weller
09/03/21,Friday,Blantons
09/04/21,Saturday,Eagle Rare
09/05/21,Sunday,EH Taylor
09/06/21,Monday,Weller
09/07/21,Tuesday,EH Taylor
09/08/21,Wednesday,Blantons
09/09/21,Thursday,Eagle Rare
09/10/21,Friday,EH Taylor
09/11/21,Saturday,Weller
09/12/21,Sunday,Blantons
09/13/21,Monday,Eagle Rare
09/14/21,Tuesday,EH Taylor
09/15/21,Wednesday,Blantons
09/16/21,Thursday,Weller
09/17/21,Friday,Eagle Rare
09/18/21,Saturday,EH Taylor
09/19/21,Sunday,Eagle Rare
09/20/21,Monday,Blantons
09/21/21,Tuesday,Weller
09/22/21,Wednesday,Eagle Rare
09/23/21,Thursday,EH Taylor
09/24/21,Friday,Blantons
09/25/21,Saturday,Eagle Rare
09/26/21,Sunday,Weller
09/27/21,Monday,EH Taylor
09/28/21,Tuesday,Eagle Rare
09/29/21,Wednesday,Blantons
09/30/21,Thursday,EH Taylor
10/01/21,Friday,Eagle Rare
10/02/21,Saturday,EH Taylor
10/03/21,Sunday,Blantons
10/04/21,Monday,Weller
10/05/21,Tuesday,EH Taylor
10/06/21,Wednesday,Blantons
10/07/21,Thursday,Eagle Rare
10/08/21,Friday,Sazerac
10/09/21,Saturday,Weller
10/10/21,Sunday,Blantons
10/11/21,Monday,Weller
10/12/21,Tuesday,EH Taylor
10/13/21,Wednesday,Sazerac
10/14/21,Thursday,Eagle Rare
10/15/21,Friday,EH Taylor
10/16/21,Saturday,Blantons
10/17/21,Sunday,Eagle Rare
10/18/21,Monday,Sazerac
10/19/21,Tuesday,EH Taylor
10/20/21,Wednesday,Weller
