Date,Day,Whiskey
08/06/22,Saturday,Sazerac Rye
08/07/22,Sunday,"E.H. Taylor, Jr. Small Batch"
08/08/22,Monday,Eagle Rare
08/09/22,Tuesday,Blanton’s
08/10/22,Wednesday,"E.H. Taylor, Jr. Small Batch"
08/11/22,Thursday,W.L. Weller Special Reserve
08/12/22,Friday,Blanton’s
08/13/22,Saturday,Eagle Rare
08/14/22,Sunday,"E.H. Taylor, Jr. Small Batch"
08/15/22,Monday,Eagle Rare
08/16/22,Tuesday,Blanton’s
08/17/22,Wednesday,Eagle Rare
08/18/22,Thursday,Blanton’s
08/19/22,Friday,"E.H. Taylor, Jr. Small Batch"
08/20/22,Saturday,W.L. Weller Special Reserve
08/21/22,Sunday,Blanton’s
08/22/22,Monday,"E.H. Taylor, Jr. Small Batch"
08/23/22,Tuesday,W.L. Weller Special Reserve
08/24/22,Wednesday,Eagle Rare
08/25/22,Thursday,"E.H. Taylor, Jr. Small Batch"
08/26/22,Friday,Eagle Rare
08/27/22,Saturday,W.L. Weller Special Reserve
